by,descendants,id,score,text,time,title,type,url,domain
unilynx,0,43465324,4,Has anyone seen adoption of the &#x27;secret-token:&#x27; prefix to help prevent leakage of API secrets as described by RFC8959? Do API users understand its purpose and respond positively or negatively to it?<p>See also https:&#x2F;&#x2F;www.rfc-editor.org&#x2F;rfc&#x2F;rfc8959.txt and https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=25978185,1742849728,Ask HN: Has anyone adopted or seen adoption of RFC8959 secret-token?,story,,
hndecision1234,107,43452945,54,"I&#x27;m 32, no degree, been working in software development for the last 8 years, and I want to go back to school for mechanical&#x2F;electrical engineering.<p>The problem is, I can&#x27;t find a way to make it work. To really commit to it I&#x27;d have to do it in person and it would be hard to balance with a full time job and I would need to work to just pay for life. Otherwise, I could take an online only degree which would allow me to work but I know that bench time is really important. I&#x27;m not sure how it would work with a fully online degree.<p>There&#x27;s also the costs. I&#x27;m having trouble finding programs under 80k, and coming out of it I would be starting at the bottom of the ladder not making as much. I do have an option to attend at my country of birth, in Eastern Europe, for much cheaper but I don&#x27;t think it&#x27;s easy to transfer that outside of the EU.<p>I just don&#x27;t know how to make it work, if I can. I would at least like to have a degree of some sort, even if it&#x27;s computer science (easier online) but it&#x27;s still an expensive one. I don&#x27;t have anyone that can really give me great advice on this so I would appreciate any advice from you all.",1742738046,Ask HN: Difficulties with going back to school,story,,
byyoung3,7,43458627,4,"there seems to be a &quot;new&quot; GPT-4o in ChatGPT -- Eg. the model feels completely different in how it reasons and responds -- sometimes it feels worse, other times it just feels different. Any thoughts?",1742805369,New ChatGPT GPT-4o Model,story,,
anta40,10,43452491,9,"I know some interesting non-DOS&#x2F;UNIX-based open source OS like HelenOS, MenuetOS, or Kolibri. They are X86&#x2F;X64 only, though.<p>Are there similar things say for ARM&#x2F;RISC&#x2F;etc ?",1742733431,Recommendation for non-DOS/Unix open source OS outside x86/X64,story,,
gremlinsinc,230,43402315,343,"I never thought I’d be here—but I’ve hit a wall I can’t break through alone. I’m asking for help, advice, ideas—anything practical—to get off the streets and back into stability.<p>In the last year, I lost my mother (cancer), my grandmother (old age), and went through a divorce. I spiraled into depression, ended up living out of my car, barely functioning.<p>But I didn’t stay down. Through therapy, ketamine treatment, and building my own AI-assisted mental health tools (ChatGPT literally saved me), I’ve come out stronger, healthier, and ready to rebuild. My mental health is solid now—I’ve done the inner work.<p>Here’s my situation:<p>I’m living in my car, staying in cheap motels when I can afford it.<p>I drive Lyft&#x2F;Uber full-time, but my car needs new tires, insurance renewal, and a payment due—without it, I can’t work. $400 for tires, $200 for insurance, $290 for car payment..<p>I have a desktop computer but nowhere stable to set it up and work.<p>I’m going back to school soon for computer science, aiming for AI&#x2F;ML work, but I need to survive until student aid or inheritance (both delayed) arrives.<p>Here’s my question: What would YOU do in my situation to break the cycle? How can I create a stable base, get back to programming&#x2F;freelancing, and stop just surviving?<p>I’m willing to work. I know I can earn 3-4x more doing freelance tech, but I can’t do that from a car.<p>I’ve thought about renting office space, finding roommates, even setting up a GoFundMe, but I need actionable ideas, not just hope.<p>How do I climb out of this? What programs, jobs, or options are out there for someone like me who’s got skills, drive, but no resources?<p>Any advice, ideas, or help you can give—I’m all ears. I’ve rebuilt my mind. Now I just need a stable place to rebuild my life. It&#x27;s hard feeling constantly like I&#x27;m in quick sand and the rope is 5 inches too far away.<p>I&#x27;m in Southern Utah (St George), willing to relocate to SLC area or Las Vegas, I just need to stay local for my kids...4 hour radius from southern Utah.",1742319741,Ask HN: How do I escape homelessness after rebuilding my mental health?,story,,
omars_,11,43455361,3,"Hi HN,<p>I recently shared my conversational AI journaling app (https:&#x2F;&#x2F;news.ycombinator.com&#x2F;item?id=43447217), a tool designed to help people reflect and process their thoughts through dialogue. Now, I’ve been thinking about broader ways conversational AI could make a difference.<p>Loneliness is more common than ever—many people don’t have a single close friend (12% of Americans from a 2021 survey - https:&#x2F;&#x2F;www.americansurveycenter.org&#x2F;research&#x2F;the-state-of-american-friendship-change-challenges-and-loss&#x2F;), while others struggle to express themselves freely, held back by fear of judgment or social pressures. Building on the journaling concept, I’m exploring whether AI could provide a safe space for open conversation—a place to speak your mind without fear of being misunderstood.<p>This isn’t about replacing real relationships or creating an AI companion for escapism. Instead, I’m picturing a virtual friend that listens, engages with your interests, and helps you build confidence—while gently nudging you toward real-life social interactions.<p>I’d love your input:
How can we design AI that supports human connection rather than replaces it?
What features would make it a bridge to real-world relationships rather than a retreat?
Does a tool like this resonate with you?<p>If these ideas interest you, I’d love to collaborate with early users to shape something truly meaningful, please reach out!",1742759295,Exploring a Conversational AI Solution for Loneliness,story,,
ziruiyyy,3,43454771,4,"Hi all! Looking for tips from folks with consumer tech&#x2F;P2P app experience :) I’m a co-founder of an app that encourages pet parents within the same city&#x2F;neighborhood to swap pet-sitting instead of paying $$ for a sitter. It’s completely free right now, and people often say they love the idea. We gained 400+ users in the past 3 months (500+ total), with most of them based in the Bay Area. But one challenge we have right now is that not enough people have actually swapped pet-sits.<p>When designing the app, we took inspiration from P2P apps and platforms like Facebook Marketplace, Airbnb, Grindr and Tinder. How the app works is that you first set up your profile with info like photos of yourself and your pets, your pet’s info, your usual availability broken down by day and periods (morning, afternoon, evening). Then you’ll see a grid view of all pet parents and their pets sorted by distance, with the ones closest to you shown first. Once you click on their profile, you can automatically shoot them a message asking for their availability to help you pet-sit. Finally, users can request a pet-sit using our scheduling system where they can choose the length of the pet-sit, what day(s) they need it, etc. To help them build a pet parent network, we have a cash-less, time exchange system where users can earn hour credits by helping others pet-sit. Then they can use the hour credits earned to request for longer, more frequent pet-sits.<p>Understand that trust and safety is top of mind for any pet parents, so we encourage users to chat a little and meet offline first before committing to a pet-sit. We also rolled out a facial verification feature lately so users can verify that they’re a real person. Once they do that, their profile will have a blue check mark badge indicating that they’re verified. But still, not enough people actually use the app. Many of them signed up for the hype from our marketing efforts but probably abandoned the app. Some of them chatted and asked for other’s availability that just didn’t work out, but few people actually scheduled any pet-sits.<p>What’s missing from our current system? What can we improve on? How can we get more users to embrace the idea of free pet-sitting and use our app more often? We’re actively asking users for their feedback too, but thought I’d also ask fellow founders, developers and people with P2P and consumer tech experience. Many thanks",1742754580,Ask HN: Advice on increasing engagement for consumer/P2P app?,story,,
chordol,30,43439939,47,"Along the lines of Airflow, Prefect, Dagster, Argo, etc. What produced the least WTF per minute?",1742585094,Ask HN: What is the simplest data orchestration tool you've worked with?,story,,
yubblegum,1,43459855,15,"Dear HN,<p>Without naming names (although come April will do so in response to specific poster) I want to share a piece of advice after having been careless myself and realizing the error afterwards.<p>When we are in job search mode, specially in this atrocious job market, we are vulnerable to social engineering, and some bad actors appear to be taking advantage of these (expected) vulnerabilities.<p>One such vulnerability is limited time resources. To do due diligence on every single company before applying is a luxury that we simply don&#x27;t have. This is specially important when applying to little known startups. If you are like me, come first of the month, you are going down that page and applying to whatever seems a good fit, one after another.<p>The other (expected) vulnerability is when in response to the application requests are made that one would normally subject to critical consideration.<p>This month I received a response from a company that after having expressed great enthusiasm regarding my application, requested a video introduction. It should have been a red flag for me that when I provided this from a well known service provider they requested a link that did not require their logging in to that service. After providing a link that did not require a record of their access to the video, they have ghosted me and have not responded to follow ups. This felt strange and (doh) I finally started digging deeper into the names of the team members on their about page and the picture that emerged was unlike the little snippets on their about page. (Turns out their ceo is actually not a tech visionary but rather a glorified marketer.)<p>Now it is entirely possible that this is simply yet another example of the degraded social norms in our society. But it is also possible that this company is collecting resumes and video (biometrics) specially since their &quot;privacy&quot; page indicates the typical assertion of copyrights over communications with them.<p>What I will be doing going forward (and I recommend the same and expect YCombinator to also recommend this in the top post for the who is hiring thread) is to, before providing such content, first obtain an acknowledgement regarding non-transfer of copyrights and strictly limited scope of sharing of such content before providing it. We live after all in the age of trivially created AI dopelgangers.",1742817079,"Tell HN: Taking care when responding to job postings in ""who is hiring""",story,,
Sayyidalijufri,55,43398652,119,"I’ve been grinding on my solo project—a little app to help remote workers find coworking spots nearby—for months, and some days it feels like I’m yelling into the void. Nobody’s signing up, and I’m burned out. But I’ve figured out a few tricks to keep going:<p>Set Tiny Wins: I break it into micro-goals, like “fix that bug today” or “post on X once.” Hitting those feels good, even if the big picture’s slow.<p>Talk to People: I hop on X, ask random remote workers what they’d want in an app like mine. Even if they don’t sign up, the feedback keeps me pumped.<p>Track Progress, Not Just Users: I log every little improvement—code commits, design tweaks, whatever. Seeing a list of wins reminds me I’m moving forward, even if signups are slow.<p>Take Breaks: When I’m stuck, I step away—go for a walk, play a game. Coming back fresh helps me see the project differently.
It’s not glamorous, but it’s keeping me in the game. Last week, I got one signup after months, and it felt huge.<p>How do you stay motivated on your solo projects? Any tips to share?",1742301222,How I Stay Motivated Working on My Solo SaaS (When It Feels Like Nobody Cares),story,,
