by,descendants,id,score,time,title,type,url,text,domain
tosh,95,43464068,199,1742841312,Qwen2.5-VL-32B: Smarter and Lighter,story,https://qwenlm.github.io/blog/qwen2.5-vl-32b/,,qwenlm.github.io
tosh,154,43461701,376,1742827534,Triforce – a beamformer for Apple Silicon laptops,story,https://crates.io/crates/triforce-lv2,,crates.io
ulugh,13,43464541,36,1742844365,The Peano Axioms: Building Blocks of Arithmetic,story,https://principlesofcryptography.com/number-theory-primer-an-axiomatic-study-of-natural-numbers-peano-axioms/,,principlesofcryptography.com
jstanley,11,43458780,37,1742807083,The Prospero Challenge,story,https://www.mattkeeter.com/projects/prospero/,,mattkeeter.com
EA-3167,6,43441082,22,1742593278,CO2 laser enables long-range detection of radioactive material,story,https://physicsworld.com/a/co2-laser-enables-long-range-detection-of-radioactive-material/,,physicsworld.com
smegger001,59,43462882,89,1742834107,Project Operation Whitecoat Military Human Experimentation on 7th Day Adventists (2010),story,https://scholarworks.lib.csusb.edu/cgi/viewcontent.cgi?article=1201&context=history-in-the-making,,scholarworks.lib.csusb.edu
jjwiseman,11,43465189,10,1742848821,Aircraft Detection at Planetary Scale,story,https://www.planet.com/pulse/aircraft-detection-at-planetary-scale/,,planet.com
ValentineC,125,43461375,240,1742825717,"Goblin.tools: simple, single-task tools to help neurodivergent people with tasks",story,https://goblin.tools/,,goblin.tools
FinnLobsien,52,43459361,113,1742812772,The Game Designer Playing Through His Own Psyche,story,https://www.newyorker.com/culture/persons-of-interest/the-game-designer-playing-through-his-own-psyche,,newyorker.com
toomuchtodo,13,43465346,22,1742849914,Eli Lilly will soon release key data on its weight loss pill orforglipron,story,https://www.cnbc.com/2025/03/24/eli-lilly-to-release-weight-loss-pill-orforglipron-trial-data-.html,,cnbc.com
diginova,115,43433030,269,1742545039,The earliest versions of the first C compiler known to exist,story,https://github.com/mortdeus/legacy-cc,,github.com
PaulHoule,1,43436157,30,1742567418,600M years of shared environmental stress response found in algae and plants,story,https://phys.org/news/2025-03-million-years-environmental-stress-response.html,,phys.org
mariuz,59,43462299,113,1742830808,Mastering Delphi 5 2025 Annotated Edition Is Now Complete,story,https://blog.marcocantu.com/blog/2025-march-mastering-delphi5-annotated-complete.html,,marcocantu.com
pepys,62,43450884,73,1742703526,Rickover's Lessons,story,https://www.chinatalk.media/p/rickovers-lessons-how-to-build-a,,chinatalk.media
rahil627,9,43451760,40,1742721642,Mruby/C and picoruby: high level langs in low-level devices?,story,https://github.com/picoruby/picoruby,,github.com
morleytj,76,43464914,36,1742846905,Cottagecore Programmers,story,https://tjmorley.com/blogposts/cottagecoreprogrammers.html,,tjmorley.com
benbreen,406,43442588,185,1742608551,"The Wright brothers invented the airplane, right? Not if you're in Brazil",story,https://www.washingtonpost.com/world/2025/03/21/brazil-airplane-wright-brothers-santos-dumont/,,washingtonpost.com
Petiver,47,43457699,44,1742788622,Researchers search for more precise ways to measure pain,story,https://www.washingtonpost.com/science/2025/03/23/pain-measure-precision-research/,,washingtonpost.com
simonpure,35,43434010,89,1742553436,Autology: A Lisp with access to its own interpreter,story,https://github.com/Kimbsy/autology,,github.com
raju,8,43465333,26,1742849793,"OpenAI Says It's ""Over"" If It Can't Steal All Your Copyrighted Work",story,https://futurism.com/openai-over-copyrighted-work,,futurism.com
